ACQUISITIONDATE,ACRES,ADDRESS,BOROUGH,CLASS,COMMUNITYBOARD,COUNCILDISTRICT,DEPARTMENT,EAPPLY,GISOBJID,GISPROPNUM,GlobalID,JURISDICTION,LOCATION,MAPPED,NAME311,NYS_ASSEMBLY,NYS_SENATE,OBJECTID,OMPPROPID,PARENTID,PERMIT,PERMITDISTRICT,PERMITPARENT,PIP_RATABLE,PRECINCT,RETIRED,SIGNNAME,SUBCATEGORY,TYPECATEGORY,US_CONGRESS,WATERFRONT,ZIPCODE,Location
1915 Oct 01 12:00:00 AM,0.17,348 EAST 54 STREET,M,PARK,106,4,M-06,Constance Baker Motley Recreation Center,"100,003,730",M130,9858C5DB-FF1B-4CC7-9EBC-5681A5CF1E81,DPR,E. 54 St. bet. 1 Ave. and 2 Ave.,False,Constance Baker Motley Recreation Center,73,28,"170,779",M130,M-06,False,M-06,M-06,False,17,False,Constance Baker Motley Recreation Center,,Buildings/Institutions,12,False,10022,POINT (-73.96513134981757 40.75647974181457)
1952 Feb 06 12:00:00 AM,0.319,286 SOUTH 3 STREET,B,PARK,301,34,B-01,Strawberry Playground,"100,004,393",B223PC,6D1CC3A8-0BF9-4AC7-9BD5-C43C9B4F663C,DPR,"Rodney St., S. 3 St. and S. 4 St.",True,Strawberry Playground,53,18,"170,778",B223PC,B-01,True,B-01,B-01,True,90,False,Strawberry Playground,Neighborhood Plgd,Playground,7,False,11211,POINT (-73.95591416655239 40.709727853238505)
1986 Nov 14 12:00:00 AM,1.593,315 EAST 26 STREET,M,PARK,106,2,M-06,Bellevue South Park,"100,003,891",M263,B3D796EF-EC26-4E4F-A0CF-106FA87E9FB8,DPR,"E. 26 St. To E. 28 St., 2 Ave.",True,Bellevue South Park,74,59,"170,794",M263,M-06,True,M-06,M-06,True,13,False,Bellevue South Park,Neighborhood Plgd,Neighborhood Park,12,False,10016,POINT (-73.978057546707 40.74003255660976)
1952 Jan 10 12:00:00 AM,0.993,306 BEACH CHANNEL DRIVE,Q,PARK,414,31,Q-14,Arverne Playground,"100,000,220",Q313,873E78EA-EA4B-455C-BC96-FF7795429068,DPR,Arverne Blvd. bet. Beach 56 St. and Beach 54 St.,False,Arverne Playground,31,10,"170,793",Q313,Q-14,True,Q-14,Q-14,True,101,False,Arverne Playground,Neighborhood Plgd,Playground,5,False,11692,POINT (-73.78518932973235 40.59287596729546)
2003 Jan 16 12:00:00 AM,1.657,62-02 BEACH 63 STREET,Q,PARK,414,31,Q-14,Thursby Basin Park,"100,000,124",Q479,FB85433F-1BD5-4A5B-9EC1-6A42A72CE5BA,DPR,Beach 63 St. bet. Elizabeth Rd. and Thursby Ave.,False,Thursby Basin Park,31,10,"170,745",Q479,Q-14,True,Q-14,Q-14,False,100,False,Thursby Basin Park,Undeveloped,Undeveloped,5,True,11692,POINT (-73.79181439085625 40.59557191480926)
1997 Jan 16 12:00:00 AM,9.181,117 1/2 HOPPING AVENUE,R,PARK,503,51,R-03,Tottenville Shore Park,"100,004,753",R139,0A49E85C-D35E-4BD5-A829-AD5600F0D63E,DPR,"Bentley St. and Arthur Kill Rd., Hopping Ave. and Amboy Rd.",False,Tottenville Shore Park,62,24,"170,743",R139,R-03,False,R-03,R-03,False,123,False,Tottenville Shore Park,Large Park,Nature Area,11,True,10307,POINT (-74.2538763288066 40.51069442538878)
1979 Sep 18 12:00:00 AM,0.329,3101 KINGSBRIDGE TERRACE,X,PARK,208,14,X-08,Kingsbridge Heights Community Center,"100,004,832",X250,864EA894-A0FA-4D4E-A29A-B823F72CA901,DPR,Kingsbridge Ter bet. Perot St and Summilt P,False,Kingsbridge Heights Community Center,81,31,"170,919",X250,X-08,True,X-08,X-08,False,50,False,Kingsbridge Heights Community Center,,Buildings/Institutions,13,False,10463,POINT (-73.90074220815069 40.877684415001696)
2009 Mar 04 12:00:00 AM,0.048,1651 MADISON AVENUE,M,PARK,111,8,M-11,110th Street Block Association Garden,"100,004,518",M382,286923FC-1887-4C2A-8B6E-4EF3F17ACCD8,DPR,E. 110 St. bet. Madison Ave. and Park Ave.,False,110th Street Block Association Garden,68,29,"170,931",M382,M-11,False,M-11,M-11,False,23,False,110th Street Block Association Garden,,Garden,13,False,10029,POINT (-73.94732829395946 40.796165709125546)
1888 Apr 24 12:00:00 AM,1.24,1501 AMSTERDAM Av,M,PARK,109,7,M-09,Annunciation Park,"100,003,894",M003,C543760C-361F-4DEC-ABA4-7F70DFA60A99,DPR,"Convent and Amsterdam Av, W 135 St",False,Annunciation Playground,70,30,"170,929",M003,M-09,True,M-09,M-09,True,26,False,Annunciation Playground,Neighborhood Plgd,Playground,13,False,10031,POINT (-73.95211901169488 40.818272459727815)
1906 Oct 10 12:00:00 AM,3.9,294 10 Av,M,PARK,104,3,M-04,Chelsea Park,"100,004,817",M011,FAC7F3D2-99D3-4B58-88CC-1942FA189324,DPR,"9 Av To 10 Av, W 27 St To W 28 St",True,Chelsea Park,75,47,"170,924",M011,M-04,True,M-04,M-04,True,10,False,Chelsea Park,Neighborhood Plgd,Playground,12,False,10001,POINT (-74.00071789117638 40.74993756233042)
